RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2026-03-12;AALR3T;BRAALRTNO008;AALR;;EQUITY FORWARD;26;;;;;;;;;311900;1360473,65
2026-03-12;AAPLB659;BRAAPL9B00E7;AAPL;;EQUITY CALL;;;154;60;0;40;100;3;1;;
2026-03-12;AAPLD687;BRAAPL9D00S3;AAPL;;EQUITY CALL;;;158;0;3500;0;3500;9;1;;
2026-03-12;AAPLD707;BRAAPL9D00T1;AAPL;;EQUITY CALL;;;158;0;3500;200;3700;2;11;;
2026-03-12;AAPLP677;BRAAPL9P00S7;AAPL;;EQUITY PUT;;;158;0;0;3500;3500;1;9;;
2026-03-12;ABCB4T;BRABCBTNP006;ABCB;;EQUITY FORWARD;18;;;;;;;;;265900;6929066,76
2026-03-12;ABCBA380;BRABCB4A01G9;ABCB;;EQUITY CALL;;;148;0;300;8400;8700;8;3;;
2026-03-12;ABCBB199;BRABCB4B00X4;ABCB;;EQUITY CALL;;;147;0;0;4000;4000;2;2;;
2026-03-12;ABCBC210;BRABCB4C01D2;ABCB;;EQUITY CALL;;;150;0;200;0;200;1;1;;
2026-03-12;ABCBC217;BRABCB4C01C4;ABCB;;EQUITY CALL;;;150;0;0;1400;1400;2;3;;
2026-03-12;ABCBC220;BRABCB4C0125;ABCB;;EQUITY CALL;;;150;200;100;1100;1400;1;4;;
2026-03-12;ABCBC227;BRABCB4C01B6;ABCB;;EQUITY CALL;;;150;1000;0;21100;22100;1;2;;
2026-03-12;ABCBC230;BRABCB4C0109;ABCB;;EQUITY CALL;;;150;0;20800;300;21100;1;3;;
2026-03-12;ABCBC235;BRABCB4C0166;ABCB;;EQUITY CALL;;;150;2100;0;1000;3100;2;3;;
2026-03-12;ABCBC240;BRABCB4C0133;ABCB;;EQUITY CALL;;;150;0;1300;500;1800;1;2;;
2026-03-12;ABCBC242;BRABCB4C01A8;ABCB;;EQUITY CALL;;;150;100;0;3300;3400;1;5;;
2026-03-12;ABCBC245;BRABCB4C0182;ABCB;;EQUITY CALL;;;150;700;16100;0;16800;1;2;;
2026-03-12;ABCBC250;BRABCB4C0174;ABCB;;EQUITY CALL;;;150;1500;0;1300;2800;2;6;;
2026-03-12;ABCBC255;BRABCB4C0158;ABCB;;EQUITY CALL;;;150;0;0;1000;1000;2;3;;
2026-03-12;ABCBC260;BRABCB4C0141;ABCB;;EQUITY CALL;;;150;400;900;10300;11600;2;9;;
2026-03-12;ABCBC265;BRABCB4C0190;ABCB;;EQUITY CALL;;;150;4800;0;1800;6600;3;14;;
2026-03-12;ABCBC275;BRABCB4C01E0;ABCB;;EQUITY CALL;;;150;1100;1200;1500;3800;2;9;;
2026-03-12;ABCBC280;BRABCB4C01F7;ABCB;;EQUITY CALL;;;150;4800;71000;1900;77700;3;14;;
2026-03-12;ABCBC300;BRABCB4C01G5;ABCB;;EQUITY CALL;;;150;100;6100;2200;8400;3;7;;
2026-03-12;ABCBC310;BRABCB4C01H3;ABCB;;EQUITY CALL;;;150;5400;1900;200;7500;4;4;;
2026-03-12;ABCBC320;BRABCB4C01I1;ABCB;;EQUITY CALL;;;150;0;2600;0;2600;3;2;;
2026-03-12;ABCBD200;BRABCB4D00E0;ABCB;;EQUITY CALL;;;147;0;0;100;100;1;1;;
2026-03-12;ABCBD210;BRABCB4D00Z5;ABCB;;EQUITY CALL;;;150;0;0;200;200;1;1;;
2026-03-12;ABCBD225;BRABCB4D00V4;ABCB;;EQUITY CALL;;;150;0;100;0;100;1;1;;
2026-03-12;ABCBD235;BRABCB4D00Y8;ABCB;;EQUITY CALL;;;150;100;100;0;200;2;2;;
2026-03-12;ABCBD250;BRABCB4D00R2;ABCB;;EQUITY CALL;;;150;44100;1300;1100;46500;4;8;;
2026-03-12;ABCBD255;BRABCB4D0116;ABCB;;EQUITY CALL;;;150;100;0;0;100;1;1;;
2026-03-12;ABCBD265;BRABCB4D00S0;ABCB;;EQUITY CALL;;;150;100;0;400;500;1;4;;
2026-03-12;ABCBD275;BRABCB4D00T8;ABCB;;EQUITY CALL;;;150;2800;0;1700;4500;4;5;;
2026-03-12;ABCBD285;BRABCB4D00U6;ABCB;;EQUITY CALL;;;150;1200;0;600;1800;3;7;;
2026-03-12;ABCBD310;BRABCB4D00W2;ABCB;;EQUITY CALL;;;150;0;100;100;200;2;2;;
2026-03-12;ABCBD320;BRABCB4D00X0;ABCB;;EQUITY CALL;;;150;0;300;0;300;1;1;;
