RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2026-02-02;AALR3T;BRAALRTNO008;AALR;;EQUITY FORWARD;46;;;;;;;;;277500;1250124,76
2026-02-02;AAPL34T;BRAAPLTNR005;AAPL;;EQUITY FORWARD;7;;;;;;;;;17501;1171464,86
2026-02-02;AAPLB659;BRAAPL9B00E7;AAPL;;EQUITY CALL;;;154;100;0;0;100;3;1;;
2026-02-02;ABCB4T;BRABCBTNP006;ABCB;;EQUITY FORWARD;18;;;;;;;;;277400;7156548,12
2026-02-02;ABCBA380;BRABCB4A01G9;ABCB;;EQUITY CALL;;;148;0;0;900;900;3;3;;
2026-02-02;ABCBB199;BRABCB4B00X4;ABCB;;EQUITY CALL;;;147;0;0;4000;4000;2;2;;
2026-02-02;ABCBB220;BRABCB4B0167;ABCB;;EQUITY CALL;;;148;0;0;300;300;2;2;;
2026-02-02;ABCBB225;BRABCB4B0134;ABCB;;EQUITY CALL;;;148;0;1100;0;1100;1;1;;
2026-02-02;ABCBB230;BRABCB4B00Z9;ABCB;;EQUITY CALL;;;148;3000;0;200;3200;3;5;;
2026-02-02;ABCBB235;BRABCB4B0118;ABCB;;EQUITY CALL;;;148;0;0;2000;2000;2;2;;
2026-02-02;ABCBB240;BRABCB4B0100;ABCB;;EQUITY CALL;;;148;400;12800;18800;32000;1;6;;
2026-02-02;ABCBB243;BRABCB4B0191;ABCB;;EQUITY CALL;;;148;300;7700;12700;20700;1;6;;
2026-02-02;ABCBB245;BRABCB4B0159;ABCB;;EQUITY CALL;;;148;100;0;2700;2800;4;7;;
2026-02-02;ABCBB250;BRABCB4B00Y2;ABCB;;EQUITY CALL;;;148;1300;500;9500;11300;3;7;;
2026-02-02;ABCBB255;BRABCB4B0126;ABCB;;EQUITY CALL;;;148;100;0;4900;5000;3;8;;
2026-02-02;ABCBB258;BRABCB4B0183;ABCB;;EQUITY CALL;;;148;4900;0;3300;8200;2;15;;
2026-02-02;ABCBB260;BRABCB4B0142;ABCB;;EQUITY CALL;;;148;2900;0;1900;4800;2;12;;
2026-02-02;ABCBB265;BRABCB4B0175;ABCB;;EQUITY CALL;;;148;8900;0;17100;26000;3;39;;
2026-02-02;ABCBC217;BRABCB4C01C4;ABCB;;EQUITY CALL;;;150;0;0;1100;1100;1;2;;
2026-02-02;ABCBC227;BRABCB4C01B6;ABCB;;EQUITY CALL;;;150;0;100;21000;21100;2;1;;
2026-02-02;ABCBC230;BRABCB4C0109;ABCB;;EQUITY CALL;;;150;0;18900;2100;21000;1;3;;
2026-02-02;ABCBC235;BRABCB4C0166;ABCB;;EQUITY CALL;;;150;1000;0;0;1000;1;1;;
2026-02-02;ABCBC240;BRABCB4C0133;ABCB;;EQUITY CALL;;;150;0;0;300;300;1;1;;
2026-02-02;ABCBC242;BRABCB4C01A8;ABCB;;EQUITY CALL;;;150;100;0;200;300;2;2;;
2026-02-02;ABCBC245;BRABCB4C0182;ABCB;;EQUITY CALL;;;150;0;0;16100;16100;1;2;;
2026-02-02;ABCBC250;BRABCB4C0174;ABCB;;EQUITY CALL;;;150;1900;0;2000;3900;2;8;;
2026-02-02;ABCBC255;BRABCB4C0158;ABCB;;EQUITY CALL;;;150;300;0;3400;3700;2;5;;
2026-02-02;ABCBC260;BRABCB4C0141;ABCB;;EQUITY CALL;;;150;300;0;10200;10500;2;8;;
2026-02-02;ABCBC265;BRABCB4C0190;ABCB;;EQUITY CALL;;;150;10000;0;2000;12000;3;15;;
2026-02-02;ABCBD200;BRABCB4D00E0;ABCB;;EQUITY CALL;;;147;0;0;100;100;1;1;;
2026-02-02;ABCBD250;BRABCB4D00R2;ABCB;;EQUITY CALL;;;150;40000;0;0;40000;1;1;;
